1	1	1000	AN0015
1	1001	2000	AN0016
1	2001	3000	AN0017
1	3001	4000	AN0019
1	4001	5000	AN0020
1	5001	6000	AN0021
1	6001	7000	AN0022
1	7001	8000	AN0023
1	8001	9000	AN0024
1	9001	10000	AN0025
1	10001	11000	AN0026
1	11001	12000	AN0027
1	12001	13000	AN0028
1	13001	14000	AN0029
1	14001	15000	AN10005
2	1	1000	AN0146
2	1001	2000	AN0147
2	2001	3000	AN0148
2	3001	4000	AN0149
2	4001	5000	AN0150
2	5001	6000	AN0153
2	6001	7000	AN0154
2	7001	8000	AN0156
2	8001	9000	AN0157
2	9001	10000	AN0158
2	10001	11000	AN10022
2	11001	12000	AN10023
2	12001	13000	AN10024
2	13001	14000	AN10035
2	14001	15000	AN10036
2	15001	16000	AN10037
2	16001	17000	AN10038
2	17001	18000	AN10044
3	1	1000	AN0520
3	1001	2000	AN0521
3	2001	3000	AN0522
3	3001	4000	AN0523
3	4001	5000	AN0524
3	5001	6000	AN0525
3	6001	7000	AN0526
3	7001	8000	AN0527
3	8001	9000	AN0528
3	9001	10000	AN0529
3	10001	11000	AN0530
3	11001	12000	AN0531
3	12001	13000	AN0532
3	13001	14000	AN0533
4	1	1000	AN0594
4	1001	2000	AN0595
4	2001	3000	AN0596
4	3001	4000	AN0597
4	4001	5000	AN0598
4	5001	6000	AN0599
4	6001	7000	AN0600
4	7001	8000	AN0601
4	8001	9000	AN0602
4	9001	10000	AN0604
4	10001	11000	AN0605
4	11001	12000	AN0606
4	12001	13000	AN0607
5	1	1000	AN10289
5	1001	2000	AN10294
5	2001	3000	AN10295
5	3001	4000	AN2342
5	4001	5000	AN2343
5	5001	6000	AN2344
5	6001	7000	AN2346
5	7001	8000	AN2347
5	8001	9000	AN2349
6	1	1000	AN10297
6	1001	2000	AN10298
6	2001	3000	AN10300
6	3001	4000	AN10301
6	4001	5000	AN11337
6	5001	6000	AN2393
6	6001	7000	AN2394
6	7001	8000	AN2395
6	8001	9000	AN2396
6	9001	10000	AN2397
6	10001	11000	AN2398
6	11001	12000	AN2399
6	12001	13000	AN2400
6	13001	14000	AN2402
6	14001	15000	AN2404
6	15001	16000	AN2405
6	16001	17000	AN2406
6	17001	18000	AN2407
6	18001	19000	AN2408
7	1	1000	AN1029
7	1001	2000	AN1030
7	2001	3000	AN1031
7	3001	4000	AN1032
7	4001	5000	AN1033
7	5001	6000	AN1034
7	6001	7000	AN1035
7	7001	8000	AN1036
7	8001	9000	AN11287
8	1	1000	AN10430
8	1001	2000	AN10447
8	2001	3000	AN3608
8	3001	4000	AN3609
8	4001	5000	AN3611
8	5001	6000	AN3612
9	1	1000	AN10486
9	1001	2000	AN10491
9	2001	3000	AN3911
9	3001	4000	AN3913
9	4001	5000	AN3914
9	5001	6000	AN3915
9	6001	7000	AN3916
9	7001	8000	AN3917
10	1	1000	AN10573
10	1001	2000	AN10576
10	2001	3000	AN4642
10	3001	4000	AN4643
10	4001	5000	AN4644
10	5001	6000	AN4645
10	6001	7000	AN4646
10	7001	8000	AN4647
10	8001	9000	AN4648
10	9001	10000	AN4649
11	1	1000	AN11191
11	1001	2000	AN11192
11	2001	3000	AN11198
11	3001	4000	AN11199
11	4001	5000	AN9210
11	5001	6000	AN9211
11	6001	7000	AN9212
11	7001	8000	AN9213
11	8001	9000	AN9214
11	9001	10000	AN9215
11	10001	11000	AN9216
11	11001	12000	AN9218
11	12001	13000	AN9219
11	13001	14000	AN9220
11	14001	15000	AN9221
12	1	1000	AN1242
12	1001	2000	AN1243
13	1	1000	AN11312
13	1001	2000	AN1677
13	2001	3000	AN1678
13	3001	4000	AN1679
13	4001	5000	AN1680
13	5001	6000	AN1681
13	6001	7000	AN1682
13	7001	8000	AN1683
13	8001	9000	AN1684
13	9001	10000	AN1685
13	10001	11000	AN1686
13	11001	12000	AN1687
13	12001	13000	AN1688
13	13001	14000	AN1689
13	14001	15000	AN1690
13	15001	16000	AN1691
14	1	1000	AN1778
14	1001	2000	AN1779
14	2001	3000	AN1780
14	3001	4000	AN1781
14	4001	5000	AN1782
14	5001	6000	AN1784
14	6001	7000	AN1785
14	7001	8000	AN1786
14	8001	9000	AN1787
15	1	1000	AN2032
15	1001	2000	AN2033
15	2001	3000	AN2034
15	3001	4000	AN2035
15	4001	5000	AN2036
15	5001	6000	AN2037
15	6001	7000	AN2038
15	7001	8000	AN2039
15	8001	9000	AN2040
15	9001	10000	AN2041
15	10001	11000	AN2042
15	11001	12000	AN2043
16	1	1000	AN2062
16	1001	2000	AN2063
16	2001	3000	AN2064
17	1	1000	AN10319
17	1001	2000	AN10320
17	2001	3000	AN10325
17	3001	4000	AN10326
17	4001	5000	AN2544
17	5001	6000	AN2545
17	6001	7000	AN2546
17	7001	8000	AN2547
17	8001	9000	AN2548
17	9001	10000	AN2549
17	10001	11000	AN2550
17	11001	12000	AN2553
18	1	1000	AN2621
18	1001	2000	AN2622
18	2001	3000	AN2623
18	3001	4000	AN2624
18	4001	5000	AN2625
19	1	1000	AN2921
19	1001	2000	AN2922
19	2001	3000	AN2923
19	3001	4000	AN2924
19	4001	5000	AN2925
20	1	1000	AN3217
20	1001	2000	AN3218
20	2001	3000	AN3219
20	3001	4000	AN3220
20	4001	5000	AN3221
20	5001	6000	AN3222
20	6001	7000	AN3223
20	7001	8000	AN3224
20	8001	9000	AN3225
20	9001	10000	AN3226
20	10001	11000	AN3227
20	11001	12000	AN3228
20	12001	13000	AN3229
20	13001	14000	AN3230
20	14001	15000	AN3231
20	15001	16000	AN3232
20	16001	17000	AN3233
20	17001	18000	AN3234
20	18001	19000	AN3235
20	19001	20000	AN3236
20	20001	21000	AN3237
21	1	1000	AN3380
21	1001	2000	AN3381
21	2001	3000	AN3382
21	3001	4000	AN3383
21	4001	5000	AN3384
21	5001	6000	AN3385
21	6001	7000	AN3386
22	1	1000	AN3391
22	1001	2000	AN3392
22	2001	3000	AN3393
22	3001	4000	AN3394
22	4001	5000	AN3395
22	5001	6000	AN3396
22	6001	7000	AN3397
22	7001	8000	AN3398
22	8001	9000	AN3399
22	9001	10000	AN3400
22	10001	11000	AN3402
22	11001	12000	AN3403
22	12001	13000	AN3404
22	13001	14000	AN3405
22	14001	15000	AN3406
22	15001	16000	AN3407
22	16001	17000	AN3408
23	1	1000	AN3491
23	1001	2000	AN3492
23	2001	3000	AN3493
23	3001	4000	AN3494
23	4001	5000	AN3495
23	5001	6000	AN3496
23	6001	7000	AN3497
23	7001	8000	AN3498
23	8001	9000	AN3499
23	9001	10000	AN3500
23	10001	11000	AN3501
23	11001	12000	AN3502
23	12001	13000	AN3503
23	13001	14000	AN3504
23	14001	15000	AN3505
23	15001	16000	AN3506
